api,threads,time
serial,1,654.739592
openmp,1,706.101816
threads,1,682.002416
serial,1,634.066538
openmp,1,743.731997
threads,1,670.056134
serial,1,634.674062
openmp,1,718.642975
threads,1,669.856358
serial,1,678.492801
openmp,1,738.732005
threads,1,656.803401
serial,1,647.325420
openmp,1,730.701056
threads,1,664.854755
serial,1,665.398714
openmp,1,733.015144
threads,1,667.236467
serial,1,640.422382
openmp,1,712.164053
threads,1,675.373318
serial,1,650.762126
openmp,1,706.536740
threads,1,666.018888
serial,1,637.708449
openmp,1,705.805570
threads,1,667.286560
serial,1,642.472291
openmp,1,713.186273
threads,1,651.014611
serial,1,630.481955
openmp,2,361.560259
threads,2,336.140683
serial,1,634.577881
openmp,2,357.249804
threads,2,334.428087
serial,1,637.464069
openmp,2,354.182359
threads,2,330.615525
serial,1,635.402502
openmp,2,368.563894
threads,2,387.073837
serial,1,697.384138
openmp,2,368.270948
threads,2,325.418793
serial,1,636.543505
openmp,2,355.627102
threads,2,373.612717
serial,1,638.854300
openmp,2,365.327806
threads,2,371.665602
serial,1,635.578995
openmp,2,363.871927
threads,2,378.341614
serial,1,632.239629
openmp,2,366.549240
threads,2,368.872948
serial,1,635.230920
openmp,2,368.234393
threads,2,362.904851
serial,1,630.606869
openmp,4,183.997332
threads,4,218.743259
serial,1,640.811075
openmp,4,184.066526
threads,4,227.705141
serial,1,633.555843
openmp,4,181.468455
threads,4,177.422465
serial,1,632.665002
openmp,4,185.096053
threads,4,175.447920
serial,1,634.418311
openmp,4,184.174460
threads,4,180.366566
serial,1,639.081115
openmp,4,184.442214
threads,4,206.743117
serial,1,637.338673
openmp,4,230.520710
threads,4,233.347108
serial,1,637.135095
openmp,4,184.166647
threads,4,227.484130
serial,1,644.441571
openmp,4,183.902238
threads,4,229.342109
serial,1,635.426754
openmp,4,183.975569
threads,4,177.988457
serial,1,630.270126
openmp,8,145.557775
threads,8,179.855548
serial,1,640.875875
openmp,8,137.802242
threads,8,180.744206
serial,1,637.473663
openmp,8,164.013280
threads,8,132.355834
serial,1,645.639781
openmp,8,165.207746
threads,8,162.177041
serial,1,634.999397
openmp,8,148.154638
threads,8,179.969532
serial,1,633.528485
openmp,8,139.162165
threads,8,140.069049
serial,1,633.553901
openmp,8,143.576195
threads,8,133.213417
serial,1,633.947592
openmp,8,158.623713
threads,8,178.523761
serial,1,636.484050
openmp,8,143.326866
threads,8,141.341769
serial,1,633.743635
openmp,8,143.592684
threads,8,131.884682
serial,1,630.316052
openmp,16,107.073916
threads,16,116.519056
serial,1,638.288112
openmp,16,100.409258
threads,16,113.463268
serial,1,633.363479
openmp,16,107.269188
threads,16,113.634701
serial,1,681.539639
openmp,16,106.437107
threads,16,113.243072
serial,1,633.209585
openmp,16,103.697768
threads,16,113.179691
serial,1,631.443411
openmp,16,107.249453
threads,16,114.817241
serial,1,636.657024
openmp,16,104.129658
threads,16,100.444268
serial,1,631.865056
openmp,16,99.694817
threads,16,115.728760
serial,1,687.142261
openmp,16,102.839132
threads,16,114.045971
serial,1,634.364007
openmp,16,108.456724
threads,16,113.564089
